Date,Symbol,Close
4/5/2019,MTB,163.22
4/8/2019,MTB,164.06
4/9/2019,MTB,162.13
4/10/2019,MTB,163.05
4/11/2019,MTB,164.5
4/12/2019,MTB,167.76
4/15/2019,MTB,163.72
4/16/2019,MTB,168.28
4/17/2019,MTB,168.48
4/18/2019,MTB,166.34
4/22/2019,MTB,166.49
4/23/2019,MTB,167.15
4/24/2019,MTB,166.56
4/25/2019,MTB,167.78
4/26/2019,MTB,168.96
4/29/2019,MTB,170.64
4/30/2019,MTB,170.07
5/1/2019,MTB,167.87
5/2/2019,MTB,169.4
5/3/2019,MTB,170.36
5/6/2019,MTB,169.78
5/7/2019,MTB,167.55
5/8/2019,MTB,167.19
