Date,Symbol,Close
5/18/2018,NFLX,324.18
5/21/2018,NFLX,331.82
5/22/2018,NFLX,331.62
5/23/2018,NFLX,344.72
5/24/2018,NFLX,349.29
5/25/2018,NFLX,351.29
5/29/2018,NFLX,349.73
5/30/2018,NFLX,353.54
5/31/2018,NFLX,351.6
6/1/2018,NFLX,359.93
6/4/2018,NFLX,361.81
6/5/2018,NFLX,365.8
6/6/2018,NFLX,367.45
6/7/2018,NFLX,361.4
6/8/2018,NFLX,360.57
6/11/2018,NFLX,361.45
6/12/2018,NFLX,363.83
6/13/2018,NFLX,379.93
6/14/2018,NFLX,392.87
6/15/2018,NFLX,391.98
6/18/2018,NFLX,390.4
6/19/2018,NFLX,404.98
6/20/2018,NFLX,416.76
6/21/2018,NFLX,415.44
6/22/2018,NFLX,411.09
6/25/2018,NFLX,384.48
6/26/2018,NFLX,399.39
6/27/2018,NFLX,390.39
6/28/2018,NFLX,395.42
6/29/2018,NFLX,391.43
7/2/2018,NFLX,398.18
7/3/2018,NFLX,390.52
7/5/2018,NFLX,398.39
7/6/2018,NFLX,408.25
7/9/2018,NFLX,418.97
7/10/2018,NFLX,415.63
7/11/2018,NFLX,418.65
7/12/2018,NFLX,413.5
7/13/2018,NFLX,395.8
7/16/2018,NFLX,400.48
7/17/2018,NFLX,379.48
7/18/2018,NFLX,375.13
7/19/2018,NFLX,364.23
7/20/2018,NFLX,361.05
7/23/2018,NFLX,362.66
7/24/2018,NFLX,357.32
7/25/2018,NFLX,362.87
7/26/2018,NFLX,363.09
7/27/2018,NFLX,355.21
7/30/2018,NFLX,334.96
7/31/2018,NFLX,337.45
8/1/2018,NFLX,338.38
8/2/2018,NFLX,344.5
8/3/2018,NFLX,343.09
8/6/2018,NFLX,350.92
8/7/2018,NFLX,351.83
8/8/2018,NFLX,347.61
8/9/2018,NFLX,349.36
8/10/2018,NFLX,345.87
8/13/2018,NFLX,341.31
8/14/2018,NFLX,337.49
8/15/2018,NFLX,326.4
8/16/2018,NFLX,322.44
8/17/2018,NFLX,316.78
8/20/2018,NFLX,327.73
8/21/2018,NFLX,338.02
8/22/2018,NFLX,344.44
